employee_number,last_name,first_name,name
10005,Maliniak,Kyoichi,Human Resources
10010,Piveteau,Duangkaew,Production
10010,Piveteau,Duangkaew,Quality Management
10011,Sluis,Mary,Customer Service
10013,Terkki,Eberhardt,Human Resources
10017,Bouloucos,Cristinel,Marketing
10035,Chappelet,Alain,Production
10037,Makrucki,Pradeep,Development
10045,Shanbhogue,Moss,Production
10051,Caine,Hidefumi,Production
10058,McFarlin,Berhard,Marketing
10078,Mondadori,Danel,Development
10085,Malabarba,Kenroku,Production
10096,Mandell,Jayson,Production
10117,Blokdijk,Kiyotoshi,Production
10156,Fargier,Sumali,Quality Management
10167,Rassart,Duangkaew,Production
10177,Iisaka,Pragnesh,Finance
10179,Duclos,Deniz,Development
10219,Kolvik,Genta,Development
10219,Kolvik,Genta,Customer Service
10223,Schmiedel,Carrsten,Development
10228,Cesareni,Karoline,Marketing
10228,Cesareni,Karoline,Sales
10244,Flasterstein,Foong,Development
10248,Tempesti,Frederique,Sales
10250,Etalle,Serap,Quality Management
10269,Oxman,Taizo,Production
10279,Jumpertz,Barton,Production
10279,Jumpertz,Barton,Customer Service
10302,Baer,Faiza,Sales
10312,Deyuan,Rasiah,Production
10314,Apsitis,Christfried,Sales
10320,Stasinski,Uinam,Sales
10321,Ravishankar,Guenter,Sales
10324,Rouquie,Bernardo,Development
10338,Ranai,Heon,Customer Service
10347,Kaminger,Pradeep,Research
10351,Strehl,Tadahiko,Finance
10353,Hammerschmidt,Phule,Marketing
10362,dAstous,Shalesh,Human Resources
10363,Muniz,Toshiki,Production
10363,Muniz,Toshiki,Quality Management
10366,Piazza,Morrie,Development
10367,Gini,Hyuckchul,Marketing
10374,Rosin,Willard,Sales
10374,Rosin,Willard,Customer Service
10376,Bale,Fai,Production
10387,Wrigley,Parto,Customer Service
10394,Meriste,Shawna,Development
10410,Gecsei,Takahito,Sales
10416,Keustermans,Uli,Finance
10428,Brlek,Cathie,Human Resources
10430,Chenney,Ferdinand,Production
10430,Chenney,Ferdinand,Customer Service
10434,Peltason,Dzung,Production
10441,Perfilyeva,Adel,Production
10445,Kavanagh,Junichi,Development
10450,Harbusch,Khun,Development
10455,Streng,Sverrir,Sales
10456,Hardjono,Stepehn,Finance
10475,Rodite,Mario,Production
10480,Baba,Make,Finance
10517,Speek,Tiina,Sales
10519,Alencar,Yonghoan,Development
10519,Alencar,Yonghoan,Research
10528,Lakshmanan,Koichi,Development
10529,Yetto,Ymte,Production
10529,Yetto,Ymte,Development
10533,Smailagic,Mohamadou,Sales
10548,Gunderson,Ramalingam,Marketing
10548,Gunderson,Ramalingam,Sales
10564,Thisen,Jianhao,Production
10567,Journel,Dietrich,Marketing
10567,Journel,Dietrich,Sales
10581,Prochazka,Odinaldo,Production
10595,Undy,Giri,Production
10612,Peroz,Gil,Production
10614,Ozeri,Gila,Production
10614,Ozeri,Gila,Customer Service
10622,Narlikar,Turgut,Production
10625,Petereit,Leszek,Development
10639,Erol,Pramod,Development
10645,Esposito,Fumiyo,Production
10652,Chachaty,Danai,Research
10664,Peck,Xumin,Production
10669,Iisaka,Yurij,Customer Service
10676,Danley,Valeri,Development
10678,Gide,Chriss,Development
10696,Fendler,Unal,Development
10705,Wynblatt,Hironobu,Sales
10714,Sadowsky,Aran,Development
10716,Constantine,Aiman,Development
10720,Kruskal,Odinaldo,Production
10720,Kruskal,Odinaldo,Research
10723,Harnett,Eckart,Production
10724,Narlikar,Aluzio,Production
10725,Isard,Garnet,Sales
10733,Rodham,Sangeeta,Customer Service
10748,Francisci,Yuchang,Finance
10748,Francisci,Yuchang,Human Resources
10749,Brendel,King,Production
10753,Harbusch,Pradeep,Production
10755,Ressouche,Odysseas,Development
10760,Dratva,Phillip,Finance
10762,Himler,Lech,Research
10764,Beetstra,Yunming,Development
10766,Standera,Nathalie,Human Resources
10769,Bouloucos,Vishv,Development
10773,Bahr,Avishai,Customer Service
10780,Staudhammer,Goncalo,Production
10783,Kenevan,Moty,Human Resources
10791,Sgarro,Tadahiko,Development
10794,Berztiss,Teunis,Research
10817,Rullman,Uri,Sales
10817,Rullman,Uri,Customer Service
10819,Sooriamurthi,Pascal,Production
10824,Kalsbeek,Kirk,Marketing
10830,Fiebach,Fen,Marketing
10835,Kermarrec,Tomoyuki,Production
